13080,15960
16560,18840
26160,28800
29400,31560
34440,34560
40200,42600
43200,45360
54960,57600
58080,60120
69480,71760
72240,74640
82920,85080
85560,87600
89520,89760
97800,100080
100680,102720
113040,115320
115920,117840
121080,121440
123000,123600
126360,128520
129000,131160
135000,136200
141600,144000
144480,146760
148320,148440
155040,157440
157920,159960
161280,161640
168600,170880
171360,173640
174600,175080
175200,175440
182760,185040
185520,187800
195720,197880
198480,200640
208920,211200
211680,213840
221040,223440
223920,225960
234480,236520
237120,239160
247320,249480
249960,252000
259320,259440
259920,262200
262920,265200
272760,275160
275640,277800
285600,287880
288480,290760
299520,301920
302400,304440
313080,315480
315960,318240
319800,319920
327000,329040
329640,331560
333840,334080
339720,342000
342360,344400
351960,354240
354720,356520
363600,365880
366240,367920
375840,380640
381600,382080
388200,390480
390960,393000
393840,394920
395280,395400
400680,403560
403680,405840
412320,415200
415680,418080
426120,428640
428760,430440
438720,441240
441600,443400
451800,454080
454920,456840
456960,458040
463680,466200
466920,469080
475800,478200
478800,480600
489000,491400
491520,493200
