18000,21120
24960,25680
39600,43440
62640,65280
65520,66240
86160,88800
90480,90720
106560,109200
109440,109680
109920,110160
110880,111840
127440,130320
130560,131040
147120,150480
150720,150960
151920,152160
167280,170640
187920,190560
192000,192240
208800,211200
211920,212160
212640,212880
230880,233760
257280,260400
279840,282960
303120,306960
328080,330480
330720,330960
331200,331440
351600,355680
378480,382320
410400,413280
415440,415680
441840,444240
444480,444720
444960,445440
446160,446880
471600,474000
475440,476640
478560,478800
498960,501600
501840,502080
503280,504240
530160,533040
533280,533760
534240,534720
555360,557760
558000,558240
558480,558720
