18120,22920
23160,23280
23760,24120
24720,26280
26640,26760
39360,43680
43920,44400
44760,44880
45840,45960
62760,66480
66720,66960
86160,89160
89280,89880
90240,91200
106560,110400
110520,112080
127200,131160
131400,131760
145080,145320
147000,151200
151320,153000
167280,170880
171120,171480
171840,171960
187560,191400
191760,192000
192240,192600
208800,211560
211680,212400
212640,213240
230280,230520
230640,234000
234240,234480
257160,261600
276600,276840
279960,283560
283920,284520
303240,307080
307440,307680
327720,331680
331800,332400
347040,347160
351600,355920
356040,356400
378360,382560
382680,382920
410040,413640
414120,414840
415200,415320
415440,416160
441720,447480
471000,474240
474480,474960
475440,476880
477840,479880
498840,502920
503160,504600
529440,529800
530040,533880
534120,535200
555000,558120
558240,559080
559200,559680
561240,561480
